Method,Style,mIoU,Precision,Recall,F1,ParseRate,ParseMs
LLM-Parsed (Ours),simple,0.8822,0.3261,0.7456,0.4538,1.0000,
LLM-Parsed (Ours),ambiguous,0.8822,0.3249,0.7456,0.4526,1.0000,
LLM-Parsed (Ours),complex,0.8830,0.3045,0.7255,0.4290,1.0000,
LLM-Parsed (Ours),indirect,0.8827,0.3006,0.6985,0.4203,1.0000,
Keyword-Only,simple,0.8779,0.3031,0.7208,0.4268,1.0000,
Keyword-Only,ambiguous,0.8779,0.3031,0.7208,0.4268,1.0000,
Keyword-Only,complex,0.8797,0.3022,0.7208,0.4259,1.0000,
Keyword-Only,indirect,0.9195,0.0901,0.0294,0.0444,0.2117,
Raw-Text,simple,0.8802,0.3955,0.7091,0.5078,1.0000,
Raw-Text,ambiguous,0.8666,0.3688,0.6195,0.4623,1.0000,
Raw-Text,complex,0.8813,0.3004,0.5430,0.3868,1.0000,
Raw-Text,indirect,0.8793,0.3085,0.6537,0.4192,1.0000,
